moduuli,element,itemId,kind,itemType,state,title,body1,body2,url,startTime,endTime,isRecording,metaTitle,otherEntryLabel,HUOM,infoa kuvasta (videosta) / kuva nähtävänä,,,,,,,,,,,,,,,
Lahjoita 6/6,item,13323c7c-2a15-41f3-9ae6-c43962cd7b31,media,yle-video,recording,Opasta synnin polulla,"Siis ensin tie hotellista baariin, sitten klubille ja lopuksi hotellille.",Paikat vaihtuvat 15 sekunnin välein.,1-50639925,,,TRUE,,,Katja lisäsi body 2-tekstin 5.10.20,3 kartan video (video nro 9),,,,,,,,,,,,,,,
Lahjoita 6/6,state,,,image,finish,Jees!,Hyvin opastit!,,39-7207935f649977d1c5d,,,FALSE,,,,Ina peukuttaa,,,,,,,,,,,,,,,
Katso tai kuuntele,item,bf1c3673-83c7-4a96-98be-6686cc8c5a6c,media,yle-video,,Hienoa!,Lahjoituksesi avulla opetetaan esimerkiksi kännykkää ymmärtämään puhuttua suomea.,Jaksaisitko vielä vastata pariin taustakysymykseen?,1-50635302,,,FALSE,,,,Video. Ina Mikkola 8,,,,,,,,,,,,,,,
Auta tutkijaa,item,626d3fb5-6b82-4d5d-bdde-1637e571ca28,prompt,super-choice,,Asuinpaikkani,Valikossa ovat Suomen kunnat. Löydät omasi nopeimmin kirjoittamalla nimen alkua.,,39-7179045f5b5eb1e365a,,,FALSE,,"Jos asut Suomen ulkopuolella, kirjoita alle maan nimi.",Body1 ja Body2-kentät tulevat pudotusvalikon ja avokentän väliin.,,,,,,,,,,,,,,,,
Auta tutkijaa,item,dad311ea-3e7f-4d16-b76b-0c94aaf9fc73,prompt,super-choice,,Synnyinpaikkani,Valikossa ovat Suomen nykyiset ja entiset kunnat. ,,39-7179005f5b5eb13f8fd,,,FALSE,,"Jos synnyit Suomen ulkopuolella, kirjoita alle maan nimi.",Body1 ja Body2-kentät tulevat pudotusvalikon ja avokentän väliin.,,,,,,,,,,,,,,,,
Auta tutkijaa,item,88acf16d-9180-47ef-a003-e1571048c701,prompt,text,,Ammattini,Kirjoita ammattisi.,"Esimerkiksi myyjä, maanviljelijä, opiskelija, eläkeläinen.",39-7179025f5b5eb17919b,,,FALSE,,,"Onnistuuko?: body1-kenttä ensin, sitten avokenttä, jonka alle body 2-teksti.",,,,,,,,,,,,,,,,
Auta tutkijaa,item,5103c614-1df4-4ffd-a670-30ef78e0a613,prompt,choice,,Koulutustaustani,Valitse valikosta.,,39-7179035f5b5eb1c6468,,,FALSE,,,,,,,,,,,,,,,,,,,
Yrityshaaste,item,365c78ae-0ff3-4331-99df-9a8c18ba6e7f,prompt,text,,Osallistuitko yrityshaasteeseen?,Kirjoita yrityksesi tai yhteisösi #-alkuinen tunnus. ,,39-7179015f5b5eb15c4b7,,,FALSE,empty,,"Toive: Ei moduulinimeä Auta tutkijaa kuvan alle, jos mahdollista (koska tässä ei varsinaisesti auteta tutkijoita). ",,,,,,,,,,,,,,,,
Katso tai kuuntele,item,48d31c1b-0157-4248-a636-ec9668c57ef6,media,yle-video,,Kiitos!,"Niin kuin varmaan tiedät, yhteistyössä on voimaa. Haasta siis myös ystäväsi lahjoittamaan puhetta!",Tai lahjoita itse lisää.,1-50635307,,,FALSE,,,,Video. Ina Mikkola 9,,,,,,,,,,,,,FALSE,Moduulin nimi tyhjäksi! (automatiikan mukaan se on Katso tai kuuntele),Video 7: Ina videolla 
Teeman lopetuskuva,schedule,,,,finish,Pääsitkö vasta vauhtiin?,Valitse aiheeksi vaikkapa Urheiluhetket. ,"Siellä voit kertoa muun muassa sen, onko Teemu Pukki Suomen paras urheilija.",39-7207875f64997462f3d,,,,,,,Ina kiittelee kädet yhdessä,,,,,,,,,,,,,,,
teemanvalinta-sivun pikkukuva,theme,,,,,,,,39-7257735f76f184ea966,,,,,,url vaihdettu 2.10. klo 12,,,,,,,,,,,,,,,,
jakoteksti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
