moduuli,element,itemId,kind,itemType,state,title,body1,body2,url,startTime,endTime,isRecording,metaTitle,otherEntryLabel,HUOM,kuva nähtävänä tai klipin Areena-otsikko
Lahjoita 6/7,state,,,,recording,Ihme lajit,"Selitä oikein rautalangasta vääntäen, mistä lajissa on kyse!",Laji vaihtuu 15 sekunnin välein.,,,,,,,,Lahjoita puhetta: Ihme lajit
Lahjoita 6/7,state,,,,finish,"Perusteellista, hyvä!",Nyt selkisi kaverillekin.,Mennään sitten sinun omaan urheiluhetkeesi. ,39-6752515ebbfdf34f8b2,,,,empty,,Ei moduulinimeä,
Lahjoita 7/7,item,61c1b4d4-2423-4f6c-a683-83a88bca7551,media,image,,Penkkiurheilumuisto,Mikä on sinun paras penkkiurheilumuistosi? Missä ja milloin se oli?,Muistele ja hersytä sielusi kyllyydestä.,39-7227945f6c8a3eea616,,,TRUE,,,,
Lahjoita 7/7,state,,,,start,inherit,inherit,inherit,39-7227935f6c8a3ec649e,,,,,,,
Lahjoita 7/7,state,,,,finish,Upeata!,Olet urheilusta puhumisen mestari!,"Jos haluat, voit vielä kertoa tutkijoille viimeiset pienet taustatiedot.",39-7228195f6c8cfde9307,,,,empty,,Ei moduulinimeä,
Auta tutkijaa,item,626d3fb5-6b82-4d5d-bdde-1637e571ca28,prompt,super-choice,,Asuinpaikkani,Valikossa ovat Suomen kunnat. Löydät omasi nopeimmin kirjoittamalla nimen alkua.,,39-7179045f5b5eb1e365a,,,,,"Jos asut Suomen ulkopuolella, kirjoita alle maan nimi.",Body1 ja Body2-kentät tulevat pudotusvalikon ja avokentän väliin.,
Auta tutkijaa,item,dad311ea-3e7f-4d16-b76b-0c94aaf9fc73,prompt,super-choice,,Synnyinpaikkani,Valikossa ovat Suomen nykyiset ja entiset kunnat. ,,39-7179005f5b5eb13f8fd,,,,,"Jos synnyit Suomen ulkopuolella, kirjoita alle maan nimi. ",Body1 ja Body2-kentät tulevat pudotusvalikon ja avokentän väliin.,
Auta tutkijaa,item,88acf16d-9180-47ef-a003-e1571048c701,prompt,text,,Ammattini,Kirjoita ammattisi.,"Esimerkiksi myyjä, maanviljelijä, opiskelija, eläkeläinen.",39-7179025f5b5eb17919b,,,,,,"Onnistuuko?: body1-kenttä ensin, sitten avokenttä, jonka alle body 2-teksti.",
Auta tutkijaa,item,5103c614-1df4-4ffd-a670-30ef78e0a613,prompt,choice,,Koulutustaustani,Valitse valikosta.,,39-7179035f5b5eb1c6468,,,,,,"Valikkoon nämä 4:
Peruskoulu (tai vastaava)
Ammatillinen koulutus tai lukio
Korkeakoulu
Joku muu
",
,item,365c78ae-0ff3-4331-99df-9a8c18ba6e7f,prompt,text,,Osallistutko yrityshaasteeseen?,Kirjoita yrityksesi tai yhteisösi #-alkuinen tunnus. ,,39-7179015f5b5eb15c4b7,,,,empty,,Ei moduulinimeä,
,schedule,8aaf82be-de16-4449-9fd2-677291a0e804,,,finish,Kiitos vielä kerran!,"Urheilusta puhumalla autoit juuri suomen kieltä. Haasta myös urheiluhullut kaverisi mukaan! 
",Mitä? Etkö antanut kaikkeasi vielä? Valitse joku toinen aihe ja lahjoita lisää.,39-6779175ec2568a49092,,,FALSE,,,,
teeman aloitusnapin kuva,,,,,,,,,39-7258135f76f7567603a,,,,,,Kuvassa korkeushyppääjä. HUOM: tsekattava että rajaus menee oikein.,
somejakoteksti,,,,,,,"Lahjoitin puhettani! Lahjoita sinäkin, niin olemme yhdessä mukana suomenkielisen puheentunnistuksen ja tekoälyn kehittämisessä! ( sitten tästä pitäisi olla suora ohjaus lahjoituskoneeseen tyyliin lue lisää --> ja sitten linkki menisi suoraan lahjoituskoneeseen.)",,,,,,,,Halutaanko / tarvitaanko mukaan viittaus teemaan: Lahjoitin puhettani sukeltamalla kesätunnelmiin / uppoutumalla urheiluhetkiin / kertomalla korona-ajasta / juttelemalla eläinystävistämme / kertomalla lähelläni olevista asioista,
