moduuli,element,itemid,kind,itemType,state,title,body1,body2,url,startTime,endTime,isRecording,HUOM,kuva nähtävänä tai klipin Areena-otsikko
Lahjoita 5/7 ,item,1316a875-371a-460b-9f1b-b81fc4711ff5,media,image,,Pallo maaliin,"Kuvittele ja selitä pelaajien liikkeet! Sinun pelaajasi ovat värillisiä, vastustaja mustalla.
",,39-6752505ebbfd5317411,,,TRUE,Katja muokkasi bodyja 9.6.20,
Lahjoita 5/7 ,state,,,,finish,Taitavaa!,Valmentamasi joukkue voitti pelin!,,39-6752515ebbfdf34f8b2,,,,,
Auta tutkijaa,item,7974d8e7-3c26-4983-adcd-7d8f5b379ffb,media,image,,Vielä yksi taustakysymys,"Nyt voit vielä kerran auttaa tutkijoita!

","Heille on tärkeää tietää, mikä on äidinkielesi. ",39-6780895ec2876bc6b15,,,FALSE,,
Auta tutkijaa ,item,fa3ecb10-1128-4c8c-a838-600a0faadc2e,prompt,multi-choice,,Äidinkieleni,"Jos sinulla on lapsesta asti ollut kaksi äidinkieltä, voit merkitä kummankin.",,39-6780895ec2876bc6b15,,,,Katja muokkasi bodyja 25.5.20 ja 28.5.20,
Auta tutkijaa ,item,4981b3c0-c693-4b93-be25-eaefa58f7528,media,image,,Kiitos! Tack! Spasibo! ,"Mahtavaa, että puhepankkiin kertyy suomea erilaisia taustoja omaavilta.",,39-6780895ec2876bc6b15,,,FALSE,Katja lyhensi titleä 9.6.20,
Katso ja kuuntele,item,59a0687a-862c-4328-aaaa-5367587da6a6,media,yle-video,, Liikuntamuisto,"Yksi parhaista liikuntamuistoistani on se, kun voitin maastopyöräkisoissa sarjassani pronssia. 
 








",Mistä liikunnasta tai urheilusta sinä nautit ja miksi? ,1-50526878,,,FALSE,Katja muokkasi body1-tekstiä 28.5.20,Lahjoita puhetta: Mikko Peltolan juonto 11
Lahjoita 6/7 ,item,af88b3fd-1700-491e-902c-cf412e768ab1,media,image,,Liikuntamuisto,"Muistele ja hersytä vapaasti.


",Oletko yksilö- vai joukkuetyyppiä? Kerro tuore kokemus tai palaa vuosien taakse!,39-6752555ebc00356bdc3,,,TRUE,Katja muokkasi titleä 26.5.20 ja 9.6.20,
Lahjoita 6/7 ,state,,,,finish,Liikuntamuisto,Hyvin kerrottu!,Kiitos.,39-6756675ebd0595c06d1,,,,Katja muokkasi bodyja 26.5.20 ja 28.5.20,
Katso ja kuuntele,item,8cb5f322-f49f-45be-b226-c5d0aa051eee,media,yle-video,,Arvaa laji,"Otetaan lopuksi kuva-arvoitus. Kuva liittyy yhteen Suomen urheilun tähtihetkistä.

","Arvuuttele ääneen, mistä lajista on kyse.",1-50526880,,,FALSE,,Lahjoita puhetta: Mikko Peltolan juonto 12
Lahjoita 7/7,item,652c6896-ea25-4df1-993e-bc0f46177125,media,yle-video,,Arvaa laji,"Kuva aukeaa 15 sekunnin välein. Jos arvaat lajin: Mikä vuosi on kyseessä ja keitä kuvassa on?

",,1-50526895,,,TRUE,Katja muokkasi bodyja 9.6.20,video (Areenaan 14.5.)
Lahjoita 7/7,state,,,,finish,Den glider in!,"Suomen ensimmäistä jääkiekon MM-voittoa juhlittiin Helsingissä toukokuussa 1995.

",Ensimmäiseen MM-kultaan on hyvä lopetella. ,39-6752615ebc01cfd6a80,,,,Katja muokkasi bodyja 28.5.20,
Katso ja kuuntele,item,444c603d-6fef-4c54-b439-2876e80d2fa1,media,yle-video,,Hieno homma!,"Urheilusta puhumalla autoit juuri suomen kieltä. 
",Haasta vielä urheiluhullut ystäväsi lahjoittamaan puhetta! ,1-50526882,,,FALSE,Katja muokkasi Body1:a 9.6.20,Lahjoita puhetta: Mikko Peltolan juonto 13
Lahjoita lisää,schedule,8aaf82be-de16-4449-9fd2-677291a0e804,,,finish,Kiitos vielä kerran!,Jos puhtia riittää: ,Valitse joku toinen aihe ja lahjoita lisää.,39-6779175ec2568a49092,,,FALSE,"Kiinteä viimeinen sivu (kaikissa teemoissa sama teksti) / Jere sanoo: tekstit tulevat teeman finish-tilasta, tai jos niitä ei ole, niin oletustekstit. Mukana Lahjoita lisää -nappi ja somejakonapit (web), tai mobiilissa Kutsu kaveri (josta aukeaa share sheet) sekä Lahjoita lisää -nappi.
Katja: Eikö tähän ollut tarkoitus tulla myös se kokonaisaika (jos lahjoittanut yli 2 min.)??? Joka tulisi myös somejakotekstiin??",
teeman aloitusnapin kuva,,,,,,,,,39-6822395ecfaad46f37d,,,,Katja vaihtoi kuvan urlia 9.6.20,pokaali
somejakoteksti,,,,,,,"Lahjoitin puhettani! Lahjoita sinäkin, niin olemme yhdessä mukana suomenkielisen puheentunnistuksen ja tekoälyn kehittämisessä! ( sitten tästä pitäisi olla suora ohjaus lahjoituskoneeseen tyyliin lue lisää --> ja sitten linkki menisi suoraan lahjoituskoneeseen.)",,,,,,Halutaanko / tarvitaanko mukaan viittaus teemaan: Lahjoitin puhettani sukeltamalla kesätunnelmiin / uppoutumalla urheiluhetkiin / kertomalla korona-ajasta / juttelemalla eläinystävistämme / kertomalla lähelläni olevista asioista,
